,date_crime_year,date_crime_month,district,cnt,__fileposition__
1,2001,1,1,1297,0
2,2001,1,2,3096,32
3,2001,1,3,1832,64
4,2001,1,4,1939,96
5,2001,1,5,1422,128
6,2001,1,6,1980,160
7,2001,1,7,1890,192
8,2001,1,8,2435,224
9,2001,1,9,1882,256
10,2001,1,10,1510,288
11,2001,1,11,1973,320
12,2001,1,12,2036,352
13,2001,1,14,1759,384
14,2001,1,15,1609,416
15,2001,1,16,1291,448
16,2001,1,17,1200,480
17,2001,1,18,1787,512
18,2001,1,19,1737,544
19,2001,1,20,791,576
20,2001,1,22,1153,608
21,2001,1,24,1261,640
22,2001,1,25,2211,672
23,2001,2,1,1120,704
24,2001,2,2,2534,736
25,2001,2,3,1713,768
26,2001,2,4,1621,800
27,2001,2,5,1336,832
28,2001,2,6,1753,864
29,2001,2,7,1757,896
30,2001,2,8,2159,928
31,2001,2,9,1662,960
32,2001,2,10,1445,992
33,2001,2,11,1926,1024
34,2001,2,12,1732,1056
35,2001,2,14,1573,1088
36,2001,2,15,1430,1120
37,2001,2,16,1117,1152
38,2001,2,17,1027,1184
39,2001,2,18,1511,1216
40,2001,2,19,1635,1248
41,2001,2,20,729,1280
42,2001,2,22,1007,1312
43,2001,2,24,1075,1344
44,2001,2,25,1917,1376
45,2001,3,1,1332,1408
46,2001,3,2,3099,1440
47,2001,3,3,2000,1472
48,2001,3,4,2108,1504
49,2001,3,5,1641,1536
50,2001,3,6,2089,1568
51,2001,3,7,2198,1600
52,2001,3,8,2672,1632
53,2001,3,9,1957,1664
54,2001,3,10,1565,1696
55,2001,3,11,2361,1728
56,2001,3,12,2071,1760
57,2001,3,14,1851,1792
58,2001,3,15,1759,1824
59,2001,3,16,1328,1856
60,2001,3,17,1190,1888
61,2001,3,18,1897,1920
62,2001,3,19,1859,1952
63,2001,3,20,902,1984
64,2001,3,22,1131,2016
65,2001,3,24,1276,2048
66,2001,3,25,2267,2080
67,2001,4,1,1206,2112
68,2001,4,2,3040,2144
69,2001,4,3,2052,2176
70,2001,4,4,2067,2208
71,2001,4,5,1741,2240
72,2001,4,6,2075,2272
73,2001,4,7,2145,2304
74,2001,4,8,2580,2336
75,2001,4,9,2120,2368
76,2001,4,10,1587,2400
77,2001,4,11,2310,2432
78,2001,4,12,2027,2464
79,2001,4,14,1981,2496
80,2001,4,15,1716,2528
81,2001,4,16,1283,2560
82,2001,4,17,1151,2592
83,2001,4,18,1721,2624
84,2001,4,19,1833,2656
85,2001,4,20,786,2688
86,2001,4,22,1194,2720
87,2001,4,24,1229,2752
88,2001,4,25,2235,2784
89,2001,5,1,1174,2816
90,2001,5,2,3075,2848
91,2001,5,3,2140,2880
92,2001,5,4,2348,2912
93,2001,5,5,1765,2944
94,2001,5,6,2211,2976
95,2001,5,7,2298,3008
96,2001,5,8,2570,3040
97,2001,5,9,2069,3072
98,2001,5,10,1787,3104
99,2001,5,11,2353,3136
100,2001,5,12,2178,3168
101,2001,5,14,1914,3200
102,2001,5,15,1781,3232
103,2001,5,16,1413,3264
104,2001,5,17,1224,3296
105,2001,5,18,1859,3328
106,2001,5,19,1946,3360
107,2001,5,20,833,3392
108,2001,5,22,1312,3424
109,2001,5,24,1259,3456
110,2001,5,25,2310,3488
111,2001,6,1,1199,3520
112,2001,6,2,3122,3552
113,2001,6,3,2209,3584
114,2001,6,4,2217,3616
115,2001,6,5,1720,3648
116,2001,6,6,2198,3680
117,2001,6,7,2387,3712
118,2001,6,8,2600,3744
119,2001,6,9,2013,3776
120,2001,6,10,1687,3808
121,2001,6,11,2328,3840
122,2001,6,12,2104,3872
123,2001,6,14,1958,3904
124,2001,6,15,1656,3936
125,2001,6,16,1419,3968
126,2001,6,17,1247,4000
127,2001,6,18,1934,4032
128,2001,6,19,2078,4064
129,2001,6,20,810,4096
130,2001,6,22,1309,4128
131,2001,6,24,1166,4160
132,2001,6,25,2361,4192
133,2001,7,1,1363,4224
134,2001,7,2,3327,4256
135,2001,7,3,2351,4288
136,2001,7,4,2322,4320
137,2001,7,5,1873,4352
138,2001,7,6,2294,4384
139,2001,7,7,2500,4416
140,2001,7,8,2827,4448
141,2001,7,9,2209,4480
142,2001,7,10,1704,4512
143,2001,7,11,2282,4544
144,2001,7,12,2159,4576
145,2001,7,14,2135,4608
146,2001,7,15,1757,4640
147,2001,7,16,1520,4672
148,2001,7,17,1361,4704
149,2001,7,18,2142,4736
150,2001,7,19,2202,4768
151,2001,7,20,910,4800
152,2001,7,22,1344,4832
153,2001,7,24,1453,4864
154,2001,7,25,2655,4896
155,2001,8,1,1351,4928
156,2001,8,2,3072,4960
157,2001,8,3,2179,4992
158,2001,8,4,2279,5024
159,2001,8,5,1847,5056
160,2001,8,6,2207,5088
161,2001,8,7,2472,5120
162,2001,8,8,2773,5152
163,2001,8,9,2087,5184
164,2001,8,10,1812,5216
165,2001,8,11,2575,5248
166,2001,8,12,2285,5280
167,2001,8,14,2064,5312
168,2001,8,15,1679,5344
169,2001,8,16,1608,5376
170,2001,8,17,1384,5408
171,2001,8,18,2151,5440
172,2001,8,19,2043,5472
173,2001,8,20,949,5504
174,2001,8,22,1250,5536
175,2001,8,24,1454,5568
176,2001,8,25,2511,5600
177,2001,9,1,1153,5632
178,2001,9,2,2863,5664
179,2001,9,3,2067,5696
180,2001,9,4,2047,5728
181,2001,9,5,1806,5760
182,2001,9,6,2129,5792
183,2001,9,7,2308,5824
184,2001,9,8,2720,5856
185,2001,9,9,1998,5888
186,2001,9,10,1714,5920
187,2001,9,11,2406,5952
188,2001,9,12,2232,5984
189,2001,9,14,1914,6016
190,2001,9,15,1668,6048
191,2001,9,16,1328,6080
192,2001,9,17,1349,6112
193,2001,9,18,1858,6144
194,2001,9,19,1934,6176
195,2001,9,20,912,6208
196,2001,9,22,1371,6240
197,2001,9,24,1298,6272
198,2001,9,25,2425,6304
199,2001,10,1,1269,6336
200,2001,10,2,3083,6368
201,2001,10,3,2002,6400
202,2001,10,4,2268,6432
203,2001,10,5,1779,6464
204,2001,10,6,2374,6496
205,2001,10,7,2465,6528
206,2001,10,8,2895,6560
207,2001,10,9,2191,6592
208,2001,10,10,1695,6624
209,2001,10,11,2428,6656
210,2001,10,12,2282,6688
211,2001,10,14,1996,6720
212,2001,10,15,1633,6752
213,2001,10,16,1348,6784
214,2001,10,17,1216,6816
215,2001,10,18,1974,6848
216,2001,10,19,2003,6880
217,2001,10,20,899,6912
218,2001,10,22,1395,6944
219,2001,10,24,1313,6976
220,2001,10,25,2518,7008
221,2001,11,1,1273,7040
222,2001,11,2,2683,7072
223,2001,11,3,1954,7104
224,2001,11,4,2090,7136
225,2001,11,5,1563,7168
226,2001,11,6,2141,7200
227,2001,11,7,2202,7232
228,2001,11,8,2749,7264
229,2001,11,9,2045,7296
230,2001,11,10,1622,7328
231,2001,11,11,2320,7360
232,2001,11,12,1966,7392
233,2001,11,14,1742,7424
234,2001,11,15,1743,7456
235,2001,11,16,1175,7488
236,2001,11,17,1079,7520
237,2001,11,18,1855,7552
238,2001,11,19,1877,7584
239,2001,11,20,780,7616
240,2001,11,22,1261,7648
241,2001,11,24,1200,7680
242,2001,11,25,2276,7712
243,2001,12,1,1117,7744
244,2001,12,2,2405,7776
245,2001,12,3,1811,7808
246,2001,12,4,1807,7840
247,2001,12,5,1513,7872
248,2001,12,6,2026,7904
249,2001,12,7,1977,7936
250,2001,12,8,2356,7968
251,2001,12,9,1846,8000
252,2001,12,10,1513,8032
253,2001,12,11,2388,8064
254,2001,12,12,1805,8096
255,2001,12,14,1653,8128
256,2001,12,15,1687,8160
257,2001,12,16,1182,8192
258,2001,12,17,1056,8224
259,2001,12,18,1827,8256
260,2001,12,19,1608,8288
261,2001,12,20,685,8320
262,2001,12,22,1225,8352
263,2001,12,24,1126,8384
264,2001,12,25,2231,8416
265,2002,1,1,1164,8448
266,2002,1,2,2566,8480
267,2002,1,3,1909,8512
268,2002,1,4,2042,8544
269,2002,1,5,1664,8576
270,2002,1,6,1991,8608
271,2002,1,7,2235,8640
272,2002,1,8,2381,8672
273,2002,1,9,1993,8704
274,2002,1,10,1533,8736
275,2002,1,11,2336,8768
276,2002,1,12,1980,8800
277,2002,1,14,1683,8832
278,2002,1,15,1694,8864
279,2002,1,16,1254,8896
280,2002,1,17,1093,8928
281,2002,1,18,1802,8960
282,2002,1,19,1775,8992
283,2002,1,20,727,9024
284,2002,1,22,1167,9056
285,2002,1,24,1164,9088
286,2002,1,25,2246,9120
287,2002,2,1,1000,9152
288,2002,2,2,2284,9184
289,2002,2,3,1609,9216
290,2002,2,4,1739,9248
291,2002,2,5,1474,9280
292,2002,2,6,1725,9312
293,2002,2,7,1771,9344
294,2002,2,8,2061,9376
295,2002,2,9,1691,9408
296,2002,2,10,1348,9440
297,2002,2,11,2163,9472
298,2002,2,12,1735,9504
299,2002,2,14,1599,9536
300,2002,2,15,1566,9568
301,2002,2,16,1149,9600
302,2002,2,17,1104,9632
303,2002,2,18,1550,9664
304,2002,2,19,1594,9696
305,2002,2,20,641,9728
306,2002,2,22,1062,9760
307,2002,2,24,1061,9792
308,2002,2,25,1983,9824
309,2002,3,1,1038,9856
310,2002,3,2,2613,9888
311,2002,3,3,1927,9920
312,2002,3,4,2031,9952
313,2002,3,5,1721,9984
314,2002,3,6,1905,10016
315,2002,3,7,2129,10048
316,2002,3,8,2393,10080
317,2002,3,9,1975,10112
318,2002,3,10,1519,10144
319,2002,3,11,2600,10176
320,2002,3,12,1926,10208
321,2002,3,14,1689,10240
322,2002,3,15,1725,10272
323,2002,3,16,1249,10304
324,2002,3,17,1166,10336
325,2002,3,18,1767,10368
326,2002,3,19,1854,10400
327,2002,3,20,763,10432
328,2002,3,22,1231,10464
329,2002,3,24,1153,10496
330,2002,3,25,2209,10528
331,2002,4,1,1147,10560
332,2002,4,2,2652,10592
333,2002,4,3,1991,10624
334,2002,4,4,2113,10656
335,2002,4,5,1784,10688
336,2002,4,6,2026,10720
337,2002,4,7,2313,10752
338,2002,4,8,2679,10784
339,2002,4,9,2029,10816
340,2002,4,10,1636,10848
341,2002,4,11,2523,10880
342,2002,4,12,1955,10912
343,2002,4,14,1714,10944
344,2002,4,15,1853,10976
345,2002,4,16,1298,11008
346,2002,4,17,1078,11040
347,2002,4,18,1864,11072
348,2002,4,19,1903,11104
349,2002,4,20,786,11136
350,2002,4,22,1251,11168
351,2002,4,24,1290,11200
352,2002,4,25,2150,11232
353,2002,5,1,1376,11264
354,2002,5,2,2686,11296
355,2002,5,3,2126,11328
356,2002,5,4,2254,11360
357,2002,5,5,1918,11392
358,2002,5,6,2278,11424
359,2002,5,7,2628,11456
360,2002,5,8,2845,11488
361,2002,5,9,2090,11520
362,2002,5,10,1767,11552
363,2002,5,11,2577,11584
364,2002,5,12,2129,11616
365,2002,5,14,1906,11648
366,2002,5,15,1777,11680
367,2002,5,16,1334,11712
368,2002,5,17,1280,11744
369,2002,5,18,1982,11776
370,2002,5,19,1964,11808
371,2002,5,20,802,11840
372,2002,5,22,1478,11872
373,2002,5,24,1297,11904
374,2002,5,25,2416,11936
375,2002,6,1,1364,11968
376,2002,6,2,2682,12000
377,2002,6,3,2176,12032
378,2002,6,4,2187,12064
379,2002,6,5,1858,12096
380,2002,6,6,2199,12128
381,2002,6,7,2502,12160
382,2002,6,8,2851,12192
383,2002,6,9,2169,12224
384,2002,6,10,1692,12256
385,2002,6,11,2600,12288
386,2002,6,12,2108,12320
387,2002,6,14,1957,12352
388,2002,6,15,1769,12384
389,2002,6,16,1365,12416
390,2002,6,17,1268,12448
391,2002,6,18,2084,12480
392,2002,6,19,2110,12512
393,2002,6,20,766,12544
394,2002,6,22,1470,12576
395,2002,6,24,1355,12608
396,2002,6,25,2302,12640
397,2002,7,1,1425,12672
398,2002,7,2,2770,12704
399,2002,7,3,2248,12736
400,2002,7,4,2493,12768
401,2002,7,5,2007,12800
402,2002,7,6,2356,12832
403,2002,7,7,2747,12864
404,2002,7,8,3084,12896
405,2002,7,9,2380,12928
406,2002,7,10,1829,12960
407,2002,7,11,2836,12992
408,2002,7,12,2430,13024
409,2002,7,14,2198,13056
410,2002,7,15,1930,13088
411,2002,7,16,1359,13120
412,2002,7,17,1299,13152
413,2002,7,18,2157,13184
414,2002,7,19,2193,13216
415,2002,7,20,811,13248
416,2002,7,22,1481,13280
417,2002,7,24,1475,13312
