,time_crime_hour,location_description,cnt,__fileposition__
1,1,"STREET",65911,0
2,1,"RESIDENCE",31321,26
3,1,"APARTMENT",25329,55
4,1,"SIDEWALK",20983,84
5,1,"BAR OR TAVERN",5852,112
6,1,"OTHER",5232,145
7,1,"ALLEY",4927,170
8,1,"VEHICLE NON-COMMERCIAL",4716,195
9,1,"PARKING LOT/GARAGE(NON.RESID.)",4087,237
10,1,"RESIDENCE-GARAGE",3704,287
11,1,"RESIDENCE PORCH/HALLWAY",3501,323
12,1,"RESTAURANT",3248,366
13,1,"GAS STATION",2790,396
14,1,"RESIDENTIAL YARD (FRONT/BACK)",1858,427
15,1,"TAVERN/LIQUOR STORE",1811,476
16,1,"CHA APARTMENT",1446,515
17,1,"SMALL RETAIL STORE",1413,548
18,1,"CHA PARKING LOT/GROUNDS",1351,586
19,1,"GROCERY FOOD STORE",1183,629
20,1,"HOTEL/MOTEL",1161,667
21,1,"DRIVEWAY - RESIDENTIAL",777,698
22,1,"CTA TRAIN",725,740
23,1,"PARK PROPERTY",709,769
24,1,"CTA PLATFORM",649,802
25,1,"CHA HALLWAY/STAIRWELL/ELEVATOR",630,834
26,1,"TAXICAB",584,884
27,1,"COMMERCIAL / BUSINESS OFFICE",569,911
28,1,"POLICE FACILITY/VEH PARKING LOT",543,959
29,1,"VACANT LOT/LAND",530,1010
30,1,"CONVENIENCE STORE",476,1045
31,1,"HOSPITAL BUILDING/GROUNDS",469,1082
32,1,"DRUG STORE",367,1127
33,1,"SCHOOL, PUBLIC, BUILDING",319,1157
34,1,"CTA BUS",225,1201
35,1,"AIRPORT/AIRCRAFT",219,1228
36,1,"ATM (AUTOMATIC TELLER MACHINE)",213,1264
37,1,"WAREHOUSE",203,1314
38,1,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",202,1343
39,1,"CONSTRUCTION SITE",198,1396
40,1,"FACTORY/MANUFACTURING BUILDING",196,1433
41,1,"DEPARTMENT STORE",189,1483
42,1,"VEHICLE-COMMERCIAL",185,1519
43,1,"ABANDONED BUILDING",184,1557
44,1,"BARBERSHOP",177,1595
45,1,"OTHER RAILROAD PROP / TRAIN DEPOT",177,1625
