,time_crime_hour,location_description,cnt,__fileposition__
1,1,"",49,0
2,1,"ABANDONED BUILDING",184,20
3,1,"AIRCRAFT",7,58
4,1,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",14,86
5,1,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",7,153
6,1,"AIRPORT EXTERIOR - NON-SECURE AREA",15,216
7,1,"AIRPORT EXTERIOR - SECURE AREA",4,270
8,1,"AIRPORT PARKING LOT",2,320
9,1,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",19,359
10,1,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",7,425
11,1,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",11,487
12,1,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",14,553
13,1,"AIRPORT TRANSPORTATION SYSTEM (ATS)",1,615
14,1,"AIRPORT VENDING ESTABLISHMENT",24,670
15,1,"AIRPORT/AIRCRAFT",219,719
16,1,"ALLEY",4927,755
17,1,"ANIMAL HOSPITAL",15,780
18,1,"APARTMENT",25329,815
19,1,"APPLIANCE STORE",25,844
20,1,"ATHLETIC CLUB",60,879
21,1,"ATM (AUTOMATIC TELLER MACHINE)",213,912
22,1,"AUTO",82,962
23,1,"BANK",138,986
24,1,"BANQUET HALL",1,1010
25,1,"BAR OR TAVERN",5852,1042
26,1,"BARBER SHOP/BEAUTY SALON",1,1075
27,1,"BARBERSHOP",177,1119
28,1,"BASEMENT",1,1149
29,1,"BOAT/WATERCRAFT",29,1177
30,1,"BOWLING ALLEY",53,1212
31,1,"BRIDGE",14,1245
32,1,"CAR WASH",55,1271
33,1,"CEMETARY",2,1299
34,1,"CHA APARTMENT",1446,1327
35,1,"CHA GROUNDS",2,1360
36,1,"CHA HALLWAY",1,1391
37,1,"CHA HALLWAY/STAIRWELL/ELEVATOR",630,1422
38,1,"CHA PARKING LOT",4,1472
39,1,"CHA PARKING LOT/GROUNDS",1351,1507
40,1,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",202,1550
41,1,"CLEANING STORE",106,1603
42,1,"CLUB",3,1637
43,1,"COIN OPERATED MACHINE",22,1661
44,1,"COLLEGE/UNIVERSITY GROUNDS",67,1702
