,date_crime_year,date_crime_month,location_description,cnt,__fileposition__
1,2001,1,"ABANDONED BUILDING",27,0
2,2001,1,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",1,46
3,2001,1,"AIRPORT/AIRCRAFT",192,117
4,2001,1,"ALLEY",479,161
5,2001,1,"APARTMENT",2189,194
6,2001,1,"APPLIANCE STORE",10,231
7,2001,1,"ATHLETIC CLUB",21,274
8,2001,1,"AUTO",8,315
9,2001,1,"BANK",172,347
10,2001,1,"BAR OR TAVERN",160,379
11,2001,1,"BARBERSHOP",38,420
12,2001,1,"BASEMENT",1,458
13,2001,1,"BOWLING ALLEY",10,494
14,2001,1,"CAR WASH",17,535
15,2001,1,"CHA APARTMENT",549,571
16,2001,1,"CHA HALLWAY/STAIRWELL/ELEVATOR",347,612
17,2001,1,"CHA PARKING LOT/GROUNDS",836,670
18,2001,1,"CHA STAIRWELL",1,721
19,2001,1,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",91,762
20,2001,1,"CLEANING STORE",55,823
21,2001,1,"COIN OPERATED MACHINE",4,865
22,2001,1,"COLLEGE/UNIVERSITY GROUNDS",30,914
23,2001,1,"COLLEGE/UNIVERSITY RESIDENCE HALL",9,968
24,2001,1,"COMMERCIAL / BUSINESS OFFICE",572,1029
25,2001,1,"CONSTRUCTION SITE",73,1085
26,2001,1,"CREDIT UNION",4,1130
27,2001,1,"CTA BUS",111,1170
28,2001,1,"CTA PLATFORM",334,1205
29,2001,1,"CTA TRAIN",94,1245
30,2001,1,"CURRENCY EXCHANGE",70,1282
31,2001,1,"DAY CARE CENTER",6,1327
32,2001,1,"DELIVERY TRUCK",7,1370
33,2001,1,"DEPARTMENT STORE",596,1412
34,2001,1,"DRIVEWAY - RESIDENTIAL",57,1456
35,2001,1,"DRUG STORE",224,1506
36,2001,1,"FACTORY/MANUFACTURING BUILDING",53,1544
37,2001,1,"FEDERAL BUILDING",7,1602
38,2001,1,"FIRE STATION",3,1646
39,2001,1,"FOREST PRESERVE",2,1686
40,2001,1,"GAS STATION",331,1729
41,2001,1,"GAS STATION DRIVE/PROP.",1,1768
42,2001,1,"GOVERNMENT BUILDING/PROPERTY",101,1819
43,2001,1,"GROCERY FOOD STORE",778,1875
44,2001,1,"HIGHWAY/EXPRESSWAY",5,1921
45,2001,1,"HOSPITAL BUILDING/GROUNDS",126,1967
46,2001,1,"HOTEL/MOTEL",211,2020
47,2001,1,"LAKEFRONT/WATERFRONT/RIVERBANK",1,2059
48,2001,1,"LIBRARY",45,2117
49,2001,1,"MEDICAL/DENTAL OFFICE",44,2152
50,2001,1,"MOVIE HOUSE/THEATER",13,2201
51,2001,1,"NEWSSTAND",2,2248
52,2001,1,"NURSING HOME/RETIREMENT HOME",108,2285
53,2001,1,"OTHER",1547,2341
54,2001,1,"OTHER COMMERCIAL TRANSPORTATION",17,2374
55,2001,1,"OTHER RAILROAD PROP / TRAIN DEPOT",25,2433
56,2001,1,"PARK PROPERTY",100,2494
57,2001,1,"PARKING LOT/GARAGE(NON.RESID.)",1289,2535
58,2001,1,"POLICE FACILITY/VEH PARKING LOT",48,2593
59,2001,1,"POOL ROOM",6,2652
60,2001,1,"RESIDENCE",8136,2689
61,2001,1,"RESIDENCE PORCH/HALLWAY",611,2726
62,2001,1,"RESIDENCE-GARAGE",730,2777
63,2001,1,"RESTAURANT",616,2821
64,2001,1,"RETAIL STORE",2,2859
65,2001,1,"SAVINGS AND LOAN",3,2899
66,2001,1,"SCHOOL, PRIVATE, BUILDING",85,2943
67,2001,1,"SCHOOL, PRIVATE, GROUNDS",19,2996
68,2001,1,"SCHOOL, PUBLIC, BUILDING",858,3048
69,2001,1,"SCHOOL, PUBLIC, GROUNDS",109,3100
70,2001,1,"SIDEWALK",1706,3151
71,2001,1,"SMALL RETAIL STORE",633,3187
72,2001,1,"SPORTS ARENA/STADIUM",16,3233
73,2001,1,"STREET",11599,3281
74,2001,1,"TAVERN",1,3315
75,2001,1,"TAVERN/LIQUOR STORE",261,3349
76,2001,1,"TAXICAB",47,3396
77,2001,1,"VACANT LOT/LAND",55,3431
78,2001,1,"VEHICLE NON-COMMERCIAL",238,3474
79,2001,1,"VEHICLE-COMMERCIAL",21,3524
80,2001,1,"WAREHOUSE",87,3570
81,2001,2,"ABANDONED BUILDING",46,3607
82,2001,2,"AIRPORT/AIRCRAFT",196,3653
83,2001,2,"ALLEY",553,3697
84,2001,2,"APARTMENT",1937,3730
85,2001,2,"APPLIANCE STORE",14,3767
86,2001,2,"ATHLETIC CLUB",17,3810
87,2001,2,"AUTO",6,3851
88,2001,2,"BANK",145,3883
89,2001,2,"BAR OR TAVERN",166,3915
90,2001,2,"BARBERSHOP",31,3956
91,2001,2,"BOAT/WATERCRAFT",2,3994
92,2001,2,"BOWLING ALLEY",6,4037
93,2001,2,"BRIDGE",1,4078
94,2001,2,"CAR WASH",10,4112
95,2001,2,"CEMETARY",1,4148
96,2001,2,"CHA APARTMENT",478,4184
97,2001,2,"CHA HALLWAY/STAIRWELL/ELEVATOR",299,4225
98,2001,2,"CHA PARKING LOT/GROUNDS",640,4283
99,2001,2,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",62,4334
100,2001,2,"CLEANING STORE",61,4395
101,2001,2,"COIN OPERATED MACHINE",5,4437
102,2001,2,"COLLEGE/UNIVERSITY GROUNDS",22,4486
103,2001,2,"COLLEGE/UNIVERSITY RESIDENCE HALL",6,4540
104,2001,2,"COMMERCIAL / BUSINESS OFFICE",463,4601
105,2001,2,"CONSTRUCTION SITE",57,4657
106,2001,2,"CTA BUS",122,4702
107,2001,2,"CTA PLATFORM",286,4737
108,2001,2,"CTA TRAIN",81,4777
109,2001,2,"CURRENCY EXCHANGE",66,4814
110,2001,2,"DAY CARE CENTER",9,4859
111,2001,2,"DELIVERY TRUCK",5,4902
112,2001,2,"DEPARTMENT STORE",481,4944
113,2001,2,"DRIVEWAY - RESIDENTIAL",69,4988
114,2001,2,"DRUG STORE",195,5038
