,time_crime_hour,primary_type,cnt,__fileposition__
1,1,"ARSON",908,0
2,1,"ASSAULT",10194,25
3,1,"BATTERY",56135,52
4,1,"BURGLARY",8443,79
5,1,"CONCEALED CARRY LICENSE VIOLATION",5,107
6,1,"CRIM SEXUAL ASSAULT",1469,160
7,1,"CRIMINAL DAMAGE",31651,199
8,1,"CRIMINAL TRESPASS",4816,234
9,1,"DECEPTIVE PRACTICE",3400,271
10,1,"GAMBLING",165,309
11,1,"HOMICIDE",586,337
12,1,"HUMAN TRAFFICKING",1,365
13,1,"INTERFERENCE WITH PUBLIC OFFICER",683,402
14,1,"INTIMIDATION",55,454
15,1,"KIDNAPPING",93,486
16,1,"LIQUOR LAW VIOLATION",739,516
17,1,"MOTOR VEHICLE THEFT",10574,556
18,1,"NARCOTICS",14270,595
19,1,"OBSCENITY",6,624
20,1,"OFFENSE INVOLVING CHILDREN",675,653
21,1,"OTHER NARCOTIC VIOLATION",3,699
22,1,"OTHER OFFENSE",10050,743
23,1,"PROSTITUTION",2202,776
24,1,"PUBLIC INDECENCY",13,808
25,1,"PUBLIC PEACE VIOLATION",1333,844
26,1,"ROBBERY",11777,886
27,1,"SEX OFFENSE",662,913
28,1,"STALKING",84,944
29,1,"THEFT",30369,972
30,1,"WEAPONS VIOLATION",2756,997
31,2,"ARSON",887,1034
32,2,"ASSAULT",8417,1059
33,2,"BATTERY",50174,1086
34,2,"BURGLARY",7830,1113
35,2,"CONCEALED CARRY LICENSE VIOLATION",6,1141
36,2,"CRIM SEXUAL ASSAULT",1542,1194
37,2,"CRIMINAL DAMAGE",27028,1233
38,2,"CRIMINAL TRESPASS",3948,1268
39,2,"DECEPTIVE PRACTICE",3072,1305
40,2,"DOMESTIC VIOLENCE",1,1343
41,2,"GAMBLING",92,1380
42,2,"HOMICIDE",533,1408
43,2,"INTERFERENCE WITH PUBLIC OFFICER",551,1436
44,2,"INTIMIDATION",49,1488
45,2,"KIDNAPPING",72,1520
46,2,"LIQUOR LAW VIOLATION",562,1550
47,2,"MOTOR VEHICLE THEFT",8535,1590
48,2,"NARCOTICS",9045,1629
