,date_crime_year,date_crime_month,primary_type,cnt,__fileposition__
1,2001,1,"ARSON",67,0
2,2001,1,"ASSAULT",2123,33
3,2001,1,"BATTERY",6525,68
4,2001,1,"BURGLARY",1934,103
5,2001,1,"CRIM SEXUAL ASSAULT",162,139
6,2001,1,"CRIMINAL DAMAGE",3966,186
7,2001,1,"CRIMINAL TRESPASS",1191,229
8,2001,1,"DECEPTIVE PRACTICE",1387,274
9,2001,1,"DOMESTIC VIOLENCE",1,320
10,2001,1,"GAMBLING",44,365
11,2001,1,"HOMICIDE",42,401
12,2001,1,"INTERFERENCE WITH PUBLIC OFFICER",36,437
13,2001,1,"INTIMIDATION",18,497
14,2001,1,"KIDNAPPING",75,537
15,2001,1,"LIQUOR LAW VIOLATION",101,575
16,2001,1,"MOTOR VEHICLE THEFT",2095,623
17,2001,1,"NARCOTICS",4714,670
18,2001,1,"OBSCENITY",2,707
19,2001,1,"OFFENSE INVOLVING CHILDREN",239,744
20,2001,1,"OTHER NARCOTIC VIOLATION",1,798
21,2001,1,"OTHER OFFENSE",2799,850
22,2001,1,"PROSTITUTION",563,891
23,2001,1,"PUBLIC PEACE VIOLATION",161,931
24,2001,1,"RITUALISM",2,981
25,2001,1,"ROBBERY",1396,1018
26,2001,1,"SEX OFFENSE",218,1053
27,2001,1,"STALKING",26,1092
28,2001,1,"THEFT",7866,1128
29,2001,1,"WEAPONS VIOLATION",337,1161
30,2001,2,"ARSON",57,1206
31,2001,2,"ASSAULT",2029,1239
32,2001,2,"BATTERY",6040,1274
33,2001,2,"BURGLARY",1666,1309
34,2001,2,"CRIM SEXUAL ASSAULT",135,1345
35,2001,2,"CRIMINAL DAMAGE",3664,1392
36,2001,2,"CRIMINAL TRESPASS",1063,1435
37,2001,2,"DECEPTIVE PRACTICE",1159,1480
38,2001,2,"GAMBLING",37,1526
39,2001,2,"HOMICIDE",27,1562
40,2001,2,"INTERFERENCE WITH PUBLIC OFFICER",27,1598
41,2001,2,"INTIMIDATION",24,1658
42,2001,2,"KIDNAPPING",57,1698
43,2001,2,"LIQUOR LAW VIOLATION",109,1736
44,2001,2,"MOTOR VEHICLE THEFT",1785,1784
45,2001,2,"NARCOTICS",4369,1831
46,2001,2,"OBSCENITY",1,1868
