,date_crime_year,date_crime_month,ward,cnt,__fileposition__
1,2001,1,0,37619,0
2,2001,1,1,6,32
3,2001,1,2,11,64
4,2001,1,3,6,96
5,2001,1,4,4,128
6,2001,1,5,10,160
7,2001,1,6,12,192
8,2001,1,7,12,224
9,2001,1,8,13,256
10,2001,1,9,13,288
11,2001,1,10,6,320
12,2001,1,11,5,352
13,2001,1,12,10,384
14,2001,1,13,4,416
15,2001,1,14,4,448
16,2001,1,15,17,480
17,2001,1,16,12,512
18,2001,1,17,13,544
19,2001,1,18,7,576
20,2001,1,19,5,608
21,2001,1,20,13,640
22,2001,1,21,14,672
23,2001,1,22,4,704
24,2001,1,23,5,736
25,2001,1,24,52,768
26,2001,1,25,7,800
27,2001,1,26,9,832
28,2001,1,27,14,864
29,2001,1,28,23,896
30,2001,1,29,14,928
31,2001,1,30,16,960
32,2001,1,31,11,992
33,2001,1,32,3,1024
34,2001,1,33,8,1056
35,2001,1,34,13,1088
36,2001,1,35,7,1120
37,2001,1,36,6,1152
38,2001,1,37,16,1184
39,2001,1,38,6,1216
40,2001,1,39,6,1248
41,2001,1,40,5,1280
42,2001,1,41,4,1312
43,2001,1,42,15,1344
44,2001,1,43,3,1376
45,2001,1,44,2,1408
46,2001,1,45,4,1440
47,2001,1,46,3,1472
48,2001,1,47,5,1504
49,2001,1,48,4,1536
50,2001,1,49,9,1568
51,2001,1,50,1,1600
52,2001,2,0,33601,1632
53,2001,2,1,2,1664
54,2001,2,2,6,1696
55,2001,2,3,6,1728
56,2001,2,4,4,1760
57,2001,2,5,2,1792
58,2001,2,6,5,1824
59,2001,2,7,3,1856
60,2001,2,8,3,1888
61,2001,2,9,3,1920
62,2001,2,10,1,1952
63,2001,2,11,1,1984
64,2001,2,13,2,2016
65,2001,2,14,1,2048
66,2001,2,15,3,2080
67,2001,2,16,2,2112
68,2001,2,17,6,2144
69,2001,2,18,3,2176
70,2001,2,20,2,2208
71,2001,2,21,2,2240
72,2001,2,22,3,2272
73,2001,2,23,6,2304
74,2001,2,24,7,2336
75,2001,2,25,3,2368
76,2001,2,26,6,2400
77,2001,2,27,8,2432
78,2001,2,28,12,2464
79,2001,2,29,9,2496
80,2001,2,30,2,2528
81,2001,2,31,3,2560
82,2001,2,32,2,2592
83,2001,2,33,2,2624
84,2001,2,34,5,2656
85,2001,2,35,7,2688
86,2001,2,36,4,2720
87,2001,2,37,4,2752
88,2001,2,38,1,2784
89,2001,2,39,3,2816
90,2001,2,40,1,2848
91,2001,2,41,3,2880
92,2001,2,42,7,2912
93,2001,2,43,1,2944
94,2001,2,44,1,2976
95,2001,2,45,2,3008
96,2001,2,46,5,3040
97,2001,2,47,2,3072
98,2001,2,48,6,3104
99,2001,2,49,3,3136
100,2001,2,50,3,3168
101,2001,3,0,40350,3200
102,2001,3,2,7,3232
103,2001,3,3,5,3264
104,2001,3,4,4,3296
105,2001,3,5,4,3328
106,2001,3,6,6,3360
107,2001,3,7,4,3392
108,2001,3,8,7,3424
109,2001,3,9,4,3456
110,2001,3,10,3,3488
111,2001,3,11,5,3520
112,2001,3,12,4,3552
113,2001,3,13,1,3584
114,2001,3,14,1,3616
115,2001,3,15,2,3648
116,2001,3,16,4,3680
117,2001,3,17,11,3712
118,2001,3,19,3,3744
119,2001,3,20,3,3776
120,2001,3,21,5,3808
121,2001,3,22,2,3840
122,2001,3,23,5,3872
123,2001,3,24,11,3904
124,2001,3,26,8,3936
125,2001,3,27,14,3968
126,2001,3,28,13,4000
127,2001,3,29,6,4032
128,2001,3,30,2,4064
129,2001,3,31,4,4096
