,date_crime_year,date_crime_month,cnt,__fileposition__
1,2001,1,38091,0
2,2001,2,33779,24
3,2001,3,40553,48
4,2001,4,40079,72
5,2001,5,41819,96
6,2001,6,41722,120
7,2001,7,44690,144
8,2001,8,44032,168
9,2001,9,41500,192
10,2001,10,43026,216
11,2001,11,39596,240
12,2001,12,36844,264
13,2002,1,38399,288
14,2002,2,33909,312
15,2002,3,38583,336
16,2002,4,40035,360
17,2002,5,42910,384
18,2002,6,42834,408
19,2002,7,46013,432
20,2002,8,44210,456
21,2002,9,42384,480
22,2002,10,43143,504
23,2002,11,37151,528
24,2002,12,37170,552
25,2003,1,36703,576
26,2003,2,32507,600
27,2003,3,38650,624
28,2003,4,39788,648
29,2003,5,41188,672
30,2003,6,40812,696
31,2003,7,43413,720
32,2003,8,44263,744
33,2003,9,41421,768
34,2003,10,43327,792
35,2003,11,38055,816
36,2003,12,35790,840
37,2004,1,35097,864
38,2004,2,34065,888
39,2004,3,39852,912
40,2004,4,38266,936
41,2004,5,40779,960
42,2004,6,41132,984
43,2004,7,43234,1008
44,2004,8,43044,1032
45,2004,9,41211,1056
46,2004,10,41521,1080
47,2004,11,36837,1104
48,2004,12,34320,1128
49,2005,1,33846,1152
50,2005,2,31985,1176
51,2005,3,36904,1200
52,2005,4,38870,1224
53,2005,5,40464,1248
54,2005,6,40050,1272
55,2005,7,41804,1296
56,2005,8,41540,1320
57,2005,9,39622,1344
58,2005,10,39958,1368
59,2005,11,35975,1392
60,2005,12,32665,1416
61,2006,1,36741,1440
62,2006,2,31295,1464
63,2006,3,36975,1488
64,2006,4,36473,1512
65,2006,5,39611,1536
66,2006,6,38809,1560
67,2006,7,41538,1584
68,2006,8,40492,1608
69,2006,9,37768,1632
70,2006,10,38655,1656
71,2006,11,35565,1680
72,2006,12,34137,1704
73,2007,1,34073,1728
74,2007,2,27137,1752
75,2007,3,36347,1776
76,2007,4,35629,1800
77,2007,5,40084,1824
78,2007,6,38986,1848
79,2007,7,40985,1872
80,2007,8,39844,1896
81,2007,9,38257,1920
82,2007,10,39588,1944
83,2007,11,34420,1968
84,2007,12,31607,1992
85,2008,1,33347,2016
86,2008,2,29039,2040
87,2008,3,33970,2064
88,2008,4,35591,2088
89,2008,5,38060,2112
90,2008,6,37694,2136
91,2008,7,40483,2160
92,2008,8,40534,2184
93,2008,9,37437,2208
94,2008,10,37874,2232
95,2008,11,33553,2256
96,2008,12,29406,2280
97,2009,1,30210,2304
98,2009,2,28223,2328
99,2009,3,33677,2352
100,2009,4,32556,2376
101,2009,5,35236,2400
102,2009,6,34259,2424
103,2009,7,35666,2448
104,2009,8,35815,2472
105,2009,9,33862,2496
106,2009,10,33524,2520
107,2009,11,31384,2544
108,2009,12,28181,2568
109,2010,1,29172,2592
110,2010,2,24937,2616
111,2010,3,32329,2640
112,2010,4,31661,2664
113,2010,5,33393,2688
114,2010,6,32702,2712
115,2010,7,33502,2736
116,2010,8,34140,2760
117,2010,9,31876,2784
118,2010,10,32387,2808
119,2010,11,28876,2832
120,2010,12,25229,2856
121,2011,1,27152,2880
122,2011,2,22225,2904
123,2011,3,28682,2928
124,2011,4,29092,2952
125,2011,5,31568,2976
126,2011,6,32294,3000
127,2011,7,33242,3024
128,2011,8,32571,3048
129,2011,9,29912,3072
130,2011,10,30263,3096
131,2011,11,27617,3120
132,2011,12,27006,3144
133,2012,1,26214,3168
134,2012,2,23858,3192
135,2012,3,28544,3216
136,2012,4,27169,3240
137,2012,5,30074,3264
138,2012,6,31061,3288
139,2012,7,31951,3312
140,2012,8,30018,3336
141,2012,9,27737,3360
142,2012,10,27944,3384
143,2012,11,26016,3408
144,2012,12,25190,3432
145,2013,1,25382,3456
146,2013,2,21381,3480
147,2013,3,24930,3504
148,2013,4,25499,3528
149,2013,5,27964,3552
150,2013,6,27337,3576
151,2013,7,28596,3600
152,2013,8,28625,3624
153,2013,9,26301,3648
154,2013,10,25437,3672
155,2013,11,23529,3696
156,2013,12,21828,3720
157,2014,1,19910,3744
158,2014,2,17989,3768
159,2014,3,22139,3792
160,2014,4,22856,3816
161,2014,5,24819,3840
162,2014,6,25370,3864
163,2014,7,26495,3888
164,2014,8,25815,3912
165,2014,9,23834,3936
166,2014,10,23927,3960
167,2014,11,20702,3984
168,2014,12,20922,4008
169,2015,1,20731,4032
170,2015,2,16313,4056
171,2015,3,21592,4080
172,2015,4,21640,4104
173,2015,5,23603,4128
174,2015,6,23092,4152
175,2015,7,24135,4176
176,2015,8,24718,4200
177,2015,9,23025,4224
178,2015,10,23003,4248
179,2015,11,20513,4272
180,2015,12,21041,4296
181,2016,1,20489,4320
182,2016,2,18641,4344
183,2016,3,21932,4368
184,2016,4,21021,4392
185,2016,5,23423,4416
186,2016,6,23916,4440
187,2016,7,24742,4464
188,2016,8,24777,4488
189,2016,9,23536,4512
190,2016,10,23597,4536
191,2016,11,21615,4560
192,2016,12,20216,4584
193,2017,1,21669,4608
194,2017,2,19059,4632
195,2017,3,20266,4656
196,2017,4,21272,4680
197,2017,5,22912,4704
198,2017,6,23243,4728
199,2017,7,24160,4752
200,2017,8,13203,4776
