,date_crime_year,date_crime_month,date_crime_day,cnt,__fileposition__
1,2001,1,1,1808,0
2,2001,1,2,1143,32
3,2001,1,3,1151,64
4,2001,1,4,1166,96
5,2001,1,5,1267,128
6,2001,1,6,1290,160
7,2001,1,7,1104,192
8,2001,1,8,1157,224
9,2001,1,9,1184,256
10,2001,1,10,1237,288
11,2001,1,11,1227,320
12,2001,1,12,1353,352
13,2001,1,13,1310,384
14,2001,1,14,1118,416
15,2001,1,15,1312,448
16,2001,1,16,1251,480
17,2001,1,17,1288,512
18,2001,1,18,1278,544
19,2001,1,19,1214,576
20,2001,1,20,1256,608
21,2001,1,21,1105,640
22,2001,1,22,1180,672
23,2001,1,23,1250,704
24,2001,1,24,1101,736
25,2001,1,25,1183,768
26,2001,1,26,1296,800
27,2001,1,27,1214,832
28,2001,1,28,1076,864
29,2001,1,29,1172,896
30,2001,1,30,1211,928
31,2001,1,31,1189,960
32,2001,2,1,1332,992
33,2001,2,2,1236,1024
34,2001,2,3,1184,1056
35,2001,2,4,1149,1088
36,2001,2,5,1313,1120
37,2001,2,6,1195,1152
38,2001,2,7,1245,1184
39,2001,2,8,1242,1216
40,2001,2,9,1285,1248
41,2001,2,10,1089,1280
42,2001,2,11,1049,1312
43,2001,2,12,1235,1344
44,2001,2,13,1241,1376
45,2001,2,14,1228,1408
46,2001,2,15,1294,1440
47,2001,2,16,1213,1472
48,2001,2,17,1077,1504
49,2001,2,18,1080,1536
50,2001,2,19,1211,1568
51,2001,2,20,1256,1600
52,2001,2,21,1223,1632
53,2001,2,22,1126,1664
54,2001,2,23,1201,1696
55,2001,2,24,1237,1728
56,2001,2,25,1162,1760
57,2001,2,26,1203,1792
58,2001,2,27,1247,1824
59,2001,2,28,1226,1856
60,2001,3,1,1591,1888
61,2001,3,2,1397,1920
62,2001,3,3,1323,1952
63,2001,3,4,1162,1984
64,2001,3,5,1232,2016
65,2001,3,6,1247,2048
66,2001,3,7,1369,2080
67,2001,3,8,1356,2112
68,2001,3,9,1419,2144
69,2001,3,10,1266,2176
70,2001,3,11,1144,2208
71,2001,3,12,1264,2240
72,2001,3,13,1291,2272
73,2001,3,14,1317,2304
74,2001,3,15,1258,2336
75,2001,3,16,1256,2368
76,2001,3,17,1088,2400
77,2001,3,18,1191,2432
78,2001,3,19,1344,2464
79,2001,3,20,1433,2496
80,2001,3,21,1373,2528
81,2001,3,22,1373,2560
82,2001,3,23,1481,2592
83,2001,3,24,1338,2624
84,2001,3,25,1102,2656
85,2001,3,26,1215,2688
86,2001,3,27,1409,2720
87,2001,3,28,1321,2752
88,2001,3,29,1337,2784
89,2001,3,30,1350,2816
90,2001,3,31,1306,2848
91,2001,4,1,1357,2880
92,2001,4,2,1322,2912
93,2001,4,3,1353,2944
94,2001,4,4,1345,2976
95,2001,4,5,1273,3008
96,2001,4,6,1381,3040
97,2001,4,7,1352,3072
98,2001,4,8,1319,3104
99,2001,4,9,1337,3136
100,2001,4,10,1341,3168
101,2001,4,11,1311,3200
102,2001,4,12,1457,3232
103,2001,4,13,1336,3264
104,2001,4,14,1347,3296
105,2001,4,15,1226,3328
106,2001,4,16,1177,3360
107,2001,4,17,1194,3392
108,2001,4,18,1338,3424
109,2001,4,19,1323,3456
110,2001,4,20,1475,3488
111,2001,4,21,1369,3520
112,2001,4,22,1353,3552
113,2001,4,23,1308,3584
114,2001,4,24,1294,3616
115,2001,4,25,1299,3648
116,2001,4,26,1358,3680
117,2001,4,27,1504,3712
118,2001,4,28,1302,3744
119,2001,4,29,1295,3776
120,2001,4,30,1433,3808
121,2001,5,1,1542,3840
122,2001,5,2,1461,3872
123,2001,5,3,1440,3904
124,2001,5,4,1533,3936
125,2001,5,5,1346,3968
126,2001,5,6,1222,4000
127,2001,5,7,1391,4032
128,2001,5,8,1412,4064
129,2001,5,9,1469,4096
130,2001,5,10,1336,4128
131,2001,5,11,1358,4160
132,2001,5,12,1244,4192
133,2001,5,13,1209,4224
134,2001,5,14,1300,4256
135,2001,5,15,1420,4288
136,2001,5,16,1381,4320
137,2001,5,17,1408,4352
138,2001,5,18,1439,4384
139,2001,5,19,1335,4416
140,2001,5,20,1281,4448
141,2001,5,21,1437,4480
142,2001,5,22,1277,4512
143,2001,5,23,1232,4544
144,2001,5,24,1312,4576
145,2001,5,25,1350,4608
146,2001,5,26,1161,4640
147,2001,5,27,1150,4672
148,2001,5,28,1325,4704
149,2001,5,29,1408,4736
150,2001,5,30,1343,4768
151,2001,5,31,1297,4800
152,2001,6,1,1659,4832
153,2001,6,2,1398,4864
154,2001,6,3,1184,4896
155,2001,6,4,1372,4928
156,2001,6,5,1280,4960
157,2001,6,6,1344,4992
158,2001,6,7,1326,5024
159,2001,6,8,1370,5056
160,2001,6,9,1386,5088
161,2001,6,10,1413,5120
162,2001,6,11,1476,5152
163,2001,6,12,1380,5184
164,2001,6,13,1429,5216
165,2001,6,14,1392,5248
166,2001,6,15,1421,5280
167,2001,6,16,1376,5312
168,2001,6,17,1435,5344
169,2001,6,18,1494,5376
170,2001,6,19,1535,5408
171,2001,6,20,1405,5440
172,2001,6,21,1321,5472
173,2001,6,22,1374,5504
174,2001,6,23,1326,5536
175,2001,6,24,1286,5568
176,2001,6,25,1381,5600
177,2001,6,26,1363,5632
178,2001,6,27,1363,5664
179,2001,6,28,1380,5696
180,2001,6,29,1450,5728
181,2001,6,30,1403,5760
182,2001,7,1,1599,5792
183,2001,7,2,1372,5824
184,2001,7,3,1316,5856
185,2001,7,4,1420,5888
186,2001,7,5,1375,5920
187,2001,7,6,1455,5952
188,2001,7,7,1447,5984
189,2001,7,8,1385,6016
190,2001,7,9,1431,6048
191,2001,7,10,1492,6080
192,2001,7,11,1397,6112
193,2001,7,12,1419,6144
194,2001,7,13,1511,6176
195,2001,7,14,1442,6208
196,2001,7,15,1391,6240
197,2001,7,16,1511,6272
198,2001,7,17,1425,6304
199,2001,7,18,1406,6336
200,2001,7,19,1402,6368
201,2001,7,20,1555,6400
202,2001,7,21,1502,6432
203,2001,7,22,1429,6464
204,2001,7,23,1468,6496
205,2001,7,24,1418,6528
206,2001,7,25,1463,6560
207,2001,7,26,1434,6592
208,2001,7,27,1465,6624
209,2001,7,28,1458,6656
210,2001,7,29,1423,6688
211,2001,7,30,1463,6720
212,2001,7,31,1416,6752
213,2001,8,1,1586,6784
214,2001,8,2,1310,6816
215,2001,8,3,1417,6848
216,2001,8,4,1516,6880
217,2001,8,5,1472,6912
218,2001,8,6,1503,6944
219,2001,8,7,1441,6976
220,2001,8,8,1433,7008
221,2001,8,9,1343,7040
222,2001,8,10,1563,7072
223,2001,8,11,1390,7104
224,2001,8,12,1406,7136
225,2001,8,13,1412,7168
226,2001,8,14,1409,7200
227,2001,8,15,1520,7232
228,2001,8,16,1433,7264
229,2001,8,17,1334,7296
230,2001,8,18,1324,7328
231,2001,8,19,1244,7360
232,2001,8,20,1467,7392
233,2001,8,21,1349,7424
234,2001,8,22,1382,7456
235,2001,8,23,1308,7488
236,2001,8,24,1418,7520
237,2001,8,25,1385,7552
238,2001,8,26,1420,7584
239,2001,8,27,1483,7616
240,2001,8,28,1410,7648
241,2001,8,29,1454,7680
242,2001,8,30,1427,7712
243,2001,8,31,1473,7744
244,2001,9,1,1580,7776
