,date_crime_year,date_crime_month,cnt,__fileposition__
1,2001,1,42,0
2,2001,2,27,24
3,2001,3,37,48
4,2001,4,59,72
5,2001,5,42,96
6,2001,6,69,120
7,2001,7,78,144
8,2001,8,58,168
9,2001,9,71,192
10,2001,10,71,216
11,2001,11,64,240
12,2001,12,49,264
13,2002,1,45,288
14,2002,2,32,312
15,2002,3,42,336
16,2002,4,43,360
17,2002,5,51,384
18,2002,6,66,408
19,2002,7,68,432
20,2002,8,77,456
21,2002,9,67,480
22,2002,10,57,504
23,2002,11,39,528
24,2002,12,70,552
25,2003,1,39,576
26,2003,2,31,600
27,2003,3,52,624
28,2003,4,57,648
29,2003,5,59,672
30,2003,6,52,696
31,2003,7,68,720
32,2003,8,48,744
33,2003,9,51,768
34,2003,10,53,792
35,2003,11,51,816
36,2003,12,43,840
37,2004,1,29,864
38,2004,2,36,888
39,2004,3,43,912
40,2004,4,30,936
41,2004,5,34,960
42,2004,6,46,984
43,2004,7,53,1008
44,2004,8,53,1032
45,2004,9,33,1056
46,2004,10,34,1080
47,2004,11,32,1104
48,2004,12,31,1128
49,2005,1,20,1152
50,2005,2,24,1176
51,2005,3,37,1200
52,2005,4,36,1224
53,2005,5,43,1248
54,2005,6,50,1272
55,2005,7,58,1296
56,2005,8,53,1320
57,2005,9,32,1344
58,2005,10,41,1368
59,2005,11,29,1392
60,2005,12,30,1416
61,2006,1,29,1440
62,2006,2,17,1464
63,2006,3,34,1488
64,2006,4,37,1512
65,2006,5,42,1536
66,2006,6,45,1560
67,2006,7,66,1584
68,2006,8,32,1608
69,2006,9,58,1632
70,2006,10,41,1656
71,2006,11,43,1680
72,2006,12,33,1704
73,2007,1,26,1728
74,2007,2,22,1752
75,2007,3,41,1776
76,2007,4,36,1800
77,2007,5,34,1824
78,2007,6,47,1848
79,2007,7,44,1872
80,2007,8,47,1896
81,2007,9,49,1920
82,2007,10,38,1944
83,2007,11,30,1968
84,2007,12,34,1992
85,2008,1,34,2016
86,2008,2,20,2040
87,2008,3,33,2064
88,2008,4,47,2088
89,2008,5,42,2112
90,2008,6,52,2136
91,2008,7,62,2160
92,2008,8,48,2184
93,2008,9,55,2208
94,2008,10,50,2232
95,2008,11,40,2256
96,2008,12,30,2280
97,2009,1,25,2304
98,2009,2,25,2328
99,2009,3,20,2352
100,2009,4,40,2376
101,2009,5,47,2400
102,2009,6,45,2424
103,2009,7,57,2448
104,2009,8,48,2472
105,2009,9,43,2496
106,2009,10,37,2520
107,2009,11,37,2544
108,2009,12,36,2568
109,2010,1,22,2592
110,2010,2,22,2616
111,2010,3,31,2640
112,2010,4,46,2664
113,2010,5,46,2688
114,2010,6,49,2712
115,2010,7,42,2736
116,2010,8,57,2760
117,2010,9,31,2784
118,2010,10,36,2808
119,2010,11,33,2832
120,2010,12,23,2856
121,2011,1,28,2880
122,2011,2,24,2904
123,2011,3,23,2928
124,2011,4,30,2952
125,2011,5,38,2976
126,2011,6,45,3000
127,2011,7,55,3024
128,2011,8,35,3048
129,2011,9,40,3072
130,2011,10,44,3096
131,2011,11,37,3120
132,2011,12,38,3144
133,2012,1,39,3168
134,2012,2,27,3192
135,2012,3,53,3216
136,2012,4,39,3240
137,2012,5,50,3264
138,2012,6,47,3288
139,2012,7,50,3312
140,2012,8,55,3336
141,2012,9,44,3360
142,2012,10,37,3384
143,2012,11,39,3408
144,2012,12,24,3432
145,2013,1,41,3456
146,2013,2,13,3480
147,2013,3,16,3504
148,2013,4,25,3528
149,2013,5,45,3552
150,2013,6,44,3576
151,2013,7,47,3600
152,2013,8,51,3624
153,2013,9,42,3648
154,2013,10,32,3672
155,2013,11,28,3696
156,2013,12,38,3720
157,2014,1,20,3744
158,2014,2,21,3768
159,2014,3,23,3792
160,2014,4,37,3816
161,2014,5,41,3840
162,2014,6,37,3864
163,2014,7,38,3888
164,2014,8,48,3912
165,2014,9,46,3936
166,2014,10,36,3960
167,2014,11,39,3984
168,2014,12,39,4008
169,2015,1,30,4032
170,2015,2,20,4056
171,2015,3,34,4080
172,2015,4,36,4104
173,2015,5,49,4128
174,2015,6,49,4152
175,2015,7,57,4176
176,2015,8,54,4200
177,2015,9,65,4224
178,2015,10,32,4248
179,2015,11,39,4272
180,2015,12,34,4296
181,2016,1,54,4320
182,2016,2,47,4344
183,2016,3,45,4368
184,2016,4,39,4392
185,2016,5,67,4416
186,2016,6,79,4440
187,2016,7,71,4464
188,2016,8,95,4488
189,2016,9,64,4512
190,2016,10,82,4536
191,2016,11,80,4560
192,2016,12,58,4584
193,2017,1,53,4608
194,2017,2,50,4632
195,2017,3,42,4656
196,2017,4,48,4680
197,2017,5,57,4704
198,2017,6,86,4728
199,2017,7,76,4752
200,2017,8,31,4776
