,primary_type,yearpre,yearpos,cntpre,cntpos,pctchangeyoy,__fileposition__
1,"ARSON",2001,2002,1010,1032,2,0
2,"ARSON",2002,2003,1032,955,-7,44
3,"ARSON",2003,2004,955,778,-18,88
4,"ARSON",2004,2005,778,691,-11,132
5,"ARSON",2005,2006,691,726,5,176
6,"ARSON",2006,2007,726,712,-1,220
7,"ARSON",2007,2008,712,644,-9,264
8,"ARSON",2008,2009,644,616,-4,308
9,"ARSON",2009,2010,616,522,-15,352
10,"ARSON",2010,2011,522,504,-3,396
11,"ARSON",2011,2012,504,469,-6,440
12,"ARSON",2012,2013,469,364,-22,484
13,"ARSON",2013,2014,364,397,9,528
14,"ARSON",2014,2015,397,454,14,572
15,"ARSON",2015,2016,454,517,13,616
16,"ARSON",2016,2017,517,285,-44,660
17,"ASSAULT",2001,2002,31384,31521,0,704
18,"ASSAULT",2002,2003,31521,29477,-6,750
19,"ASSAULT",2003,2004,29477,28850,-2,796
20,"ASSAULT",2004,2005,28850,27066,-6,842
21,"ASSAULT",2005,2006,27066,25945,-4,888
22,"ASSAULT",2006,2007,25945,26314,1,934
23,"ASSAULT",2007,2008,26314,25447,-3,980
24,"ASSAULT",2008,2009,25447,22861,-10,1026
25,"ASSAULT",2009,2010,22861,21535,-5,1072
26,"ASSAULT",2010,2011,21535,20411,-5,1118
27,"ASSAULT",2011,2012,20411,19898,-2,1164
28,"ASSAULT",2012,2013,19898,17971,-9,1210
29,"ASSAULT",2013,2014,17971,16900,-5,1256
30,"ASSAULT",2014,2015,16900,17041,0,1302
31,"ASSAULT",2015,2016,17041,18732,9,1348
32,"ASSAULT",2016,2017,18732,12243,-34,1394
33,"BATTERY",2001,2002,93447,94152,0,1440
34,"BATTERY",2002,2003,94152,88377,-6,1486
35,"BATTERY",2003,2004,88377,87134,-1,1532
36,"BATTERY",2004,2005,87134,83965,-3,1578
37,"BATTERY",2005,2006,83965,80665,-3,1624
38,"BATTERY",2006,2007,80665,79591,-1,1670
39,"BATTERY",2007,2008,79591,75923,-4,1716
40,"BATTERY",2008,2009,75923,68462,-9,1762
41,"BATTERY",2009,2010,68462,65401,-4,1808
42,"BATTERY",2010,2011,65401,60458,-7,1854
43,"BATTERY",2011,2012,60458,59134,-2,1900
44,"BATTERY",2012,2013,59134,54003,-8,1946
45,"BATTERY",2013,2014,54003,49447,-8,1992
46,"BATTERY",2014,2015,49447,48911,-1,2038
47,"BATTERY",2015,2016,48911,50276,2,2084
48,"BATTERY",2016,2017,50276,31184,-37,2130
49,"BURGLARY",2001,2002,26011,25623,-1,2176
50,"BURGLARY",2002,2003,25623,25156,-1,2223
51,"BURGLARY",2003,2004,25156,24564,-2,2270
52,"BURGLARY",2004,2005,24564,25504,3,2317
53,"BURGLARY",2005,2006,25504,24324,-4,2364
54,"BURGLARY",2006,2007,24324,24858,2,2411
55,"BURGLARY",2007,2008,24858,26218,5,2458
56,"BURGLARY",2008,2009,26218,26766,2,2505
57,"BURGLARY",2009,2010,26766,26422,-1,2552
58,"BURGLARY",2010,2011,26422,26619,0,2599
59,"BURGLARY",2011,2012,26619,22844,-14,2646
60,"BURGLARY",2012,2013,22844,17894,-21,2693
61,"BURGLARY",2013,2014,17894,14570,-18,2740
62,"BURGLARY",2014,2015,14570,13182,-9,2787
63,"BURGLARY",2015,2016,13182,14287,8,2834
64,"BURGLARY",2016,2017,14287,8117,-43,2881
65,"CONCEALED CARRY LICENSE VIOLATION",2014,2015,15,34,26,2928
66,"CONCEALED CARRY LICENSE VIOLATION",2015,2016,34,36,5,3000
67,"CONCEALED CARRY LICENSE VIOLATION",2016,2017,36,38,5,3072
68,"CRIM SEXUAL ASSAULT",2001,2002,1796,1829,1,3144
69,"CRIM SEXUAL ASSAULT",2002,2003,1829,1588,-13,3202
70,"CRIM SEXUAL ASSAULT",2003,2004,1588,1568,-1,3260
71,"CRIM SEXUAL ASSAULT",2004,2005,1568,1544,-1,3318
72,"CRIM SEXUAL ASSAULT",2005,2006,1544,1462,-5,3376
73,"CRIM SEXUAL ASSAULT",2006,2007,1462,1534,4,3434
74,"CRIM SEXUAL ASSAULT",2007,2008,1534,1519,0,3492
75,"CRIM SEXUAL ASSAULT",2008,2009,1519,1409,-7,3550
76,"CRIM SEXUAL ASSAULT",2009,2010,1409,1347,-4,3608
77,"CRIM SEXUAL ASSAULT",2010,2011,1347,1466,8,3666
78,"CRIM SEXUAL ASSAULT",2011,2012,1466,1409,-3,3724
79,"CRIM SEXUAL ASSAULT",2012,2013,1409,1271,-9,3782
80,"CRIM SEXUAL ASSAULT",2013,2014,1271,1321,3,3840
81,"CRIM SEXUAL ASSAULT",2014,2015,1321,1364,3,3898
82,"CRIM SEXUAL ASSAULT",2015,2016,1364,1491,9,3956
83,"CRIM SEXUAL ASSAULT",2016,2017,1491,942,-36,4014
84,"CRIMINAL DAMAGE",2001,2002,55851,55940,0,4072
85,"CRIMINAL DAMAGE",2002,2003,55940,55011,-1,4126
86,"CRIMINAL DAMAGE",2003,2004,55011,53164,-3,4180
87,"CRIMINAL DAMAGE",2004,2005,53164,54548,2,4234
88,"CRIMINAL DAMAGE",2005,2006,54548,57124,4,4288
89,"CRIMINAL DAMAGE",2006,2007,57124,53749,-5,4342
90,"CRIMINAL DAMAGE",2007,2008,53749,52841,-1,4396
91,"CRIMINAL DAMAGE",2008,2009,52841,47724,-9,4450
92,"CRIMINAL DAMAGE",2009,2010,47724,40653,-14,4504
93,"CRIMINAL DAMAGE",2010,2011,40653,37332,-8,4558
94,"CRIMINAL DAMAGE",2011,2012,37332,35854,-3,4612
95,"CRIMINAL DAMAGE",2012,2013,35854,30853,-13,4666
